(845.72,449.98)
(829.61,445.52)
(820.43,439.29)
(824.57,442.78)
(819.06,430.12)
(801.42,417.2)
(809.1,408.38)
(813.45,405.46)
(807.9,406.13)
(800.11,398.67)
(799.87,390.53)
(765.91,392.05)
(782.56,402.8)
(793.37,426.24)
(781.93,419.85)
(790.05,429.8)
(790.39,434.33)
(790.18,435.69)
(777.65,426.98)
(774.85,426.21)
(783.05,423.2)
(795.07,427.72)
(806.2,431.99)
(813.04,429.79)
(801.19,428.91)
(794.19,442.66)
(802.66,452.08)
(812.42,461.14)
(809.64,463.58)
(810.31,461.91)
(811.26,452.73)
(814.71,452.08)
(811.32,454.49)
(807.79,455.72)
(814.3,443.66)
(821.54,432.5)
(825.31,428.35)
(827.61,428.43)
(834.82,437.87)
(831.52,431.72)
(832.6,430.58)
(831.38,425.66)
(838.6,431.14)
(821.5,420.05)
(806.19,430.47)
(801.2,441.4)
(799.78,444.57)
(790.13,448.97)
(790.77,442.8)
(799.71,450.81)
(795.53,446.06)
(792.46,448.85)
(806.85,459.99)
(792.89,460.16)
(787.82,466.59)
(782.86,467.01)
(780.7,467.9)
(782.42,479.93)
(785.37,474.98)
(773.95,468.22)
(770.17,457.35)
(765.74,457.84)
(759.02,442.32)
(775.6,453.62)
(755.69,455.49)
(753.83,456.83)
(753.68,458.27)
(750.73,449.83)
(753.67,439.88)
(754.21,450.5)
(741.5,514.01)
(702.87,504.77)
(704.51,500.0)
(711.32,502.68)
(715.19,506.09)
(724.93,485.92)
(723.25,501.75)
(739.99,520.3)
(741.48,523.51)
(738.12,517.1)
(733.3,525.31)
(734.75,523.9)
(737.97,527.0)
(723.67,542.1)
(723.25,549.03)
(707.38,532.17)
(700.01,509.59)
(706.29,515.06)
(708.87,513.0)
(709.5,520.17)
(715.63,519.33)
(722.36,521.73)
(720.11,526.31)
(721.07,533.9)
(720.78,518.83)
(701.96,509.79)
(702.7,529.69)
(697.56,539.0)
(696.88,541.39)
(685.42,529.82)
(684.21,533.25)
(691.13,547.24)
(687.82,538.79)
(691.03,575.85)
(695.25,586.19)
(698.37,585.28)
(691.89,589.36)
(683.67,582.94)
(670.71,584.78)
(661.15,589.53)
(667.97,571.5)
(665.87,561.7)
(669.97,560.91)
(668.21,565.73)
(647.18,527.68)
(647.26,525.62)
(652.55,536.88)
(659.05,542.9)
(665.9,542.83)
(663.03,547.06)
(652.29,537.75)
(667.12,558.0)
(681.72,582.85)
(682.96,584.62)
(687.92,576.8)
(687.59,596.54)
(680.3,595.32)
(675.15,604.0)
(677.76,609.54)
(677.3,616.83)
(680.35,613.36)
(678.67,634.03)
(681.79,609.84)
(695.0,632.64)
(755.49,644.61)
(744.7,649.79)
(740.98,634.76)
(744.75,629.71)
(751.48,628.1)
(744.56,640.91)
(744.09,635.85)
(757.84,638.17)
(767.65,652.59)
(768.05,666.8)
(762.5,671.45)
(756.99,661.31)
(761.78,659.39)
(754.5,667.1)
(756.5,681.32)
(753.46,665.18)
(749.16,673.54)
(749.38,690.79)
(733.99,700.09)
(728.12,698.7)
(727.5,702.1)
(718.28,701.91)
(709.98,699.78)
(709.68,691.28)
(706.04,682.98)
(690.88,669.79)
(692.19,660.59)
(700.77,662.74)
(706.15,680.44)
(699.4,676.27)
(680.72,670.23)
(681.04,674.97)
(685.09,665.24)
(681.68,663.87)
(688.01,673.47)
(677.25,674.8)
(669.22,675.68)
(678.63,663.22)
(676.8,662.63)
(677.18,668.87)
(669.51,656.06)
(675.54,665.15)
(677.14,648.11)
(672.87,636.34)
(667.54,630.83)
(668.66,631.69)
(660.01,630.0)
(642.0,621.7)
(642.35,620.73)
(642.23,619.86)
(640.54,620.91)
(642.82,622.55)
(641.33,615.7)
(628.75,607.79)
(632.68,606.81)
(632.97,610.76)
(632.3,595.03)
(634.96,585.16)
(613.36,574.88)
(607.99,574.97)
(607.57,600.92)
(615.51,603.83)
(610.82,604.3)
(593.06,614.32)
(580.76,606.26)
(576.73,606.94)
(574.92,606.91)
(576.52,604.97)
(570.48,598.9)
(571.19,604.43)
(581.7,608.21)
(586.01,613.89)
(585.98,605.88)
(595.92,609.94)
(587.83,599.41)
(580.47,592.52)
(580.07,584.0)
(564.31,569.05)
(569.3,574.5)
(564.68,572.03)
(560.7,570.77)
(571.48,582.1)
(565.21,577.67)
(577.51,585.74)
(581.53,587.41)
(570.85,585.78)
(564.51,574.13)
(559.05,571.53)
(561.09,572.16)
(565.1,576.16)
(568.5,571.17)
(580.45,580.32)
(578.23,571.72)
(580.57,571.46)
(570.41,562.83)
(578.59,564.29)
(570.98,560.99)
(580.86,577.73)
(588.23,579.17)
(594.34,572.27)
(591.53,562.29)
(603.66,565.32)
(609.46,570.56)
(600.8,556.97)
(614.11,561.28)
(600.4,530.38)
(623.05,530.12)
(628.93,546.08)
(611.11,553.17)
(604.0,558.22)
(605.23,566.71)
(613.66,570.52)
(609.15,569.18)
(612.79,568.18)
(607.55,569.48)
(596.97,565.25)
(611.02,581.82)
(607.26,585.98)
(604.43,582.13)
(604.85,583.98)
(614.98,603.0)
(615.47,607.7)
(609.72,610.0)
(601.27,560.28)
(597.6,571.7)
(596.06,572.98)
(599.3,587.44)
(607.45,608.34)
(609.57,609.7)
(606.07,580.13)
(624.6,605.23)
(651.01,622.77)
(635.96,626.2)
(626.86,628.44)
